item,item_label,shared_class,shared_label
Q543405,studio monitor,Q570,loudspeaker
Q770289,subwoofer,Q570,loudspeaker
Q64153541,scientific consultant,Q901,scientist
Q85760010,evolution of bacteria,Q1063,evolution
Q9267082,geology of Africa,Q1069,geology
Q12094878,Geology of South Africa,Q1069,geology
Q513479,Tuscan red,Q1075,color
Q604079,mauve,Q1075,color
Q846504,tangerine,Q1075,color
Q901731,umber,Q1075,color
Q1627085,honey,Q1075,color
Q2303165,sinopia,Q1075,color
Q2722041,copper,Q1075,color
Q2929220,byzantium,Q1075,color
Q3443194,Turkey red,Q1075,color
Q5069879,champagne,Q1075,color
Q5170059,cordovan,Q1075,color
Q6731851,magnolia,Q1075,color
Q10747136,flame,Q1075,color
Q11635977,Reddish Brown,Q1075,color
Q60971306,orange-red,Q1075,color
Q4069739,Armenian draughts,Q1293,checkers
Q2751465,quince,Q1364,fruit
Q2751465,quince,Q3314483,fruit
Q6411070,,Q1364,fruit
Q1470163,commodity money,Q1368,money
Q42862951,,Q1827,red wine
Q42864158,,Q1827,red wine
Q42866822,,Q1827,red wine
Q42869066,,Q1827,red wine
Q42869068,,Q1827,red wine
Q98526825,Biestkens Bible,Q1845,Bible
Q5251284,defence diplomacy,Q1889,diplomacy
Q16927722,Twitter diplomacy,Q1889,diplomacy
Q12494,ladyfinger,Q2095,food
Q564491,Tacacá,Q2095,food
Q690165,Scaccia,Q2095,food
Q836538,tzatziki,Q2095,food
Q894347,Bosnian pot,Q2095,food
Q926500,sesame seed candy,Q2095,food
Q1133209,corned beef,Q2095,food
Q1141033,jajangmyeon,Q2095,food
Q1150150,Taralli,Q2095,food
Q1756465,sagon,Q2095,food
Q2456855,Idiyappam,Q2095,food
Q2757253,cream soup,Q2095,food
Q2923090,,Q2095,food
Q2991822,rissole,Q2095,food
Q4208154,mie aceh,Q2095,food
Q4939470,bolinhos de mandioca com mel,Q2095,food
Q5192318,cuccidati,Q2095,food
Q6132434,Sopa de Gato,Q2095,food
Q7086753,Olho-de-sogra,Q2095,food
Q7439103,screwball,Q2095,food
Q11529313,,Q2095,food
Q12404884,Gondi dumpling,Q2095,food
Q12498712,model (food),Q2095,food
Q12516003,Soto Kediri,Q2095,food
Q12516008,Soto Sokaraja,Q2095,food
Q15976317,Selat solo,Q2095,food
Q17027492,clorot,Q2095,food
Q19573003,kale noodles,Q2095,food
Q19728052,Maksuba,Q2095,food
Q25630136,,Q2095,food
Q55650512,Kutach,Q2095,food
Q65213789,Abon Ikan Bandeng,Q2095,food
Q65343730,,Q2095,food
Q106696256,Tchaka,Q2095,food
Q108178857,Galho,Q2095,food
Q111398939,,Q2095,food
Q116376913,Wet hamburger,Q2095,food
Q117061527,bourek,Q2095,food
Q116186284,lesbian oral sex,Q2122,oral sex
Q138854971,Ofe akwụ,Q2095,food
Q60036125,"February 16, 1916",Q2342,February 16
Q60036034,"June 1, 1937",Q2625,June 1
Q85227623,The Holocaust in East Upper Silesia,Q2763,The Holocaust
Q60036059,"October 4, 1926",Q2929,October 4
Q414706,academic freedom,Q2979,liberty
Q459760,Junker School,Q3914,school
Q51954707,,Q3962,laptop
Q68221819,,Q3962,laptop
Q68222416,,Q3962,laptop
Q68222805,ThinkPad R400,Q3962,laptop
Q68222968,ThinkPad W500,Q3962,laptop
Q68224522,Thinkpad X60s,Q3962,laptop
Q99812517,Surface Laptop Go,Q3962,laptop
Q1316116,wedding forest,Q4421,forest
Q5154959,Community forestry,Q4421,forest
Q17103938,várzea forest,Q4421,forest
Q136990355,,Q4421,forest
Q5150914,combined school,Q3914,school
Q6508683,leadership school,Q3914,school
Q11391922,public policy school,Q3914,school
Q13132631,Welsh-medium school,Q3914,school
Q22004615,teaching school (UK),Q3914,school
Q61073315,sibyan maktab,Q3914,school
Q110142962,,Q3914,school
Q110142962,,Q131596,farm
Q114836866,,Q3914,school
Q123615808,"Nigerian Navy Secondary School, Ogbomoso",Q3914,school
Q123702097,"Pine Valley High School, Ogbomosho",Q3914,school
Q127688951,College of nobles,Q3914,school
Q107724041,Summit University,Q3918,university
Q782970,domus,Q3947,house
Q1747660,,Q4539,cooperative
Q119607174,transport cooperative,Q4539,cooperative
Q21011266,,Q4618,Carnival
Q21035151,,Q4618,Carnival
Q21035166,,Q4618,Carnival
Q111394772,,Q4618,Carnival
Q137766179,Nonghyup,Q4539,cooperative
Q137711117,Super floppy,Q5293,floppy disk
Q1196571,MOS 6507,Q5297,microprocessor
Q1323830,Hudson Soft HuC6280,Q5297,microprocessor
Q1261034,pressure switch,Q5320,electrical switch
Q106714813,direct current switch,Q5320,electrical switch
Q11588210,Industrial league,Q5369,baseball
Q289242,Fukuoka City Subway,Q5503,rapid transit
Q3667579,Internet key,Q5607,modem
Q106891076,,Q3489162,Solaris Urbino 12
Q106891076,,Q5638,bus
Q130614245,driving school trolleybus,Q5639,trolleybus
Q746054,Assyrian nationalism,Q6235,nationalism
Q6425145,Kodak T-MAX,Q6293,photographic film
Q13733263,Internet Explorer 11,Q6368,web browser
Q3450,main sequence,Q6472,stellar evolution
Q15606,38628 Huya,Q6592,trans-Neptunian object
Q38104,Nobel Prize in Physics,Q7191,Nobel Prize
Q44585,Nobel Prize in Chemistry,Q7191,Nobel Prize
Q80061,Nobel Prize in Physiology or Medicine,Q7191,Nobel Prize
Q5413464,paleobiogeography,Q7205,paleontology
Q695599,Austrian Federal Government,Q7188,government
Q1770849,Government of Norway,Q7188,government
Q2366737,Finnish Government,Q7188,government
Q3112619,Government of Benin,Q7188,government
Q11924556,First government of Francesc Antich,Q581816,Govern Balear
Q11924556,First government of Francesc Antich,Q7188,government
Q34841310,Government of the Kingdom of Sardinia,Q7188,government
Q37953779,Government of the Kingdom of Italy,Q7188,government
Q97276669,Government of Senegal,Q7188,government
Q136357508,Maldives Sports Act Amendment (2022),Q7748,law
Q136784099,Voice Smiling!,Q7366,song
Q458424,transportation in Taiwan,Q7590,transport
Q2433261,Babylonian law,Q7748,law
Q1995545,software package,Q7397,software
Q7395178,SWF2EXE software,Q7397,software
Q24841467,360 Safeguard,Q7397,software
Q125899094,App Clips,Q7397,software
Q133257276,Recruit CRM,Q7397,software
Q136207022,accessibility software,Q7397,software
Q136207022,accessibility software,Q688498,assistive technology
Q136682809,fundraising platform,Q7397,software
Q136757662,formerly open-source or free software,Q7397,software
Q138055453,alternative software build for compatibility with an older platform,Q7397,software
Q138339496,portable shortcut to a system utility,Q7397,software
Q138643002,"Governance, Risk and Compliance software",Q7397,software
Q659964,prison uniform,Q7434,uniform
Q2102038,police uniform,Q7434,uniform
Q3875098,industrial snow,Q7561,snow
Q114055324,Religious Translation,Q7553,translation
Q1502246,biological parent,Q7566,parent
Q2855609,environmentalism,Q7257,ideology
Q115817584,Ideology of Palestinian Islamic Jihad,Q7257,ideology
Q543515,Potemkin village,Q7281,propaganda
Q17141257,sphenomandibularis,Q7365,muscle
Q4781198,Apple Mouse,Q7987,computer mouse
Q904895,carboxylase,Q8047,enzyme
Q4789386,Argentine Constitution of 1819,Q7755,constitution
Q2920132,Shoti,Q7802,bread
Q3565924,Bolo do caco,Q7802,bread
Q10710162,Upplandskubb,Q7802,bread
Q111283137,Olive bread,Q7802,bread
Q131286570,Szczecin bread,Q7802,bread
Q1156730,Roof avalanches,Q7935,avalanche
Q1047516,,Q8076,video game console
Q1063978,,Q8076,video game console
Q3504180,Super Famicom Box,Q8076,video game console
Q4854331,Bandai RX-78,Q8076,video game console
Q5432911,Famicom Data Recorder,Q8076,video game console
Q48891556,MegaVision,Q8076,video game console
Q728768,Swedish grammar,Q8091,grammar
Q137477507,Fisher geometry,Q8087,geometry
Q245584,cyclostrophic wind,Q8094,wind
Q492768,Pampero,Q8094,wind
Q646585,Simoom,Q8094,wind
Q3435529,Norwegian grammar,Q8091,grammar
Q20155020,Kyrgyz grammar,Q8091,grammar
Q1421011,gradient wind,Q8094,wind
Q2144546,gale,Q8094,wind
Q3574459,Cierzo,Q8094,wind
Q1328737,regional economics,Q8134,economics
Q191830,dinar,Q8142,currency
Q1364284,Sycee,Q8142,currency
Q3064816,fals,Q8142,currency
Q509331,progressive tax,Q8161,tax
Q967719,wealth tax,Q8161,tax
Q2371870,,Q8161,tax
Q20973270,,Q8436,family
Q20973271,,Q8436,family
Q20973272,della Faille d'Huysse,Q8436,family
Q23641869,family in ancient Rome,Q8436,family
Q25616,right to food,Q8458,human rights
Q105429329,right to a healthy environment,Q8458,human rights
Q5768685,hipster racism,Q8461,racism
Q59551740,Umayyad Army,Q8473,military
Q97373557,Kopi Jos,Q8486,coffee
Q125257091,rabbit milk,Q8495,milk
Q53782888,History of Geology and Mining,Q8513,database
Q547546,animal magnetism,Q8609,hypnosis
Q66504178,deserts of Afghanistan and Iran,Q8514,desert
Q108654442,ELIXIR Core Data Resource,Q8513,database
Q124047792,,Q8513,database
Q3510462,information-theoretic security,Q8789,cryptography
Q2628860,Buddhist mythology,Q9134,mythology
Q30682820,meat tax,Q8161,tax
Q136044505,book word,Q8171,word
Q8201,Chinese characters,Q3953107,logographic writing system
Q8201,Chinese characters,Q8192,writing system
Q190502,Japanese writing system,Q8192,writing system
Q118169871,modern Georgian script,Q29517555,natural writing system
Q118169871,modern Georgian script,Q8192,writing system
Q134620393,Kerang/Kakaki,Q8338,trumpet
Q1199602,shunting-yard algorithm,Q8366,algorithm
Q2372426,sweep line algorithm,Q8366,algorithm
Q124073149,DeepLab,Q8366,algorithm
Q126740705,receiving partner on top,Q8394,sex position
Q600659,disk operating system,Q9135,operating system
Q7005105,NewDos/80,Q9135,operating system
Q137396449,proprietary operating system,Q218616,proprietary software
Q137396449,proprietary operating system,Q9135,operating system
Q9598,Taoism,Q9174,religion
Q174495,monotheism in Islam,Q9159,monotheism
Q16165210,,Q9158,email
Q1651597,Indian religions,Q9174,religion
Q6981696,Samaritanism,Q9174,religion
Q21151157,cosmotheism,Q9174,religion
Q111954613,Samnite religion,Q9174,religion
Q119998804,Sabine religion,Q9174,religion
Q123581215,Evangelisch-lutherische Kirchengemeinde Hiddesen,Q9174,religion
Q127163544,Lydian religion,Q9174,religion
Q152964,potato salad,Q9266,salad
Q152964,potato salad,Q10514020,potato dish
Q7457147,seven-layer salad,Q9266,salad
Q12817265,Shakarap,Q9266,salad
Q1131737,imitation,Q9332,behavior
Q1399332,compliance,Q9332,behavior
Q1456974,obedience,Q9332,behavior
Q1665395,Integral yoga,Q9350,yoga
Q25635316,mockery,Q9332,behavior
Q22909241,Integral yoga,Q9350,yoga
Q335046,passion,Q9415,emotion
Q516519,suspicion,Q9415,emotion
Q616314,interest,Q9415,emotion
Q775842,desire,Q9415,emotion
Q913668,shyness,Q9415,emotion
Q2728730,gratitude,Q9415,emotion
Q3935810,relaxation,Q9415,emotion
Q5442873,Feminist epistemology,Q9471,epistemology
Q136758824,Digital Epistemology,Q9471,epistemology
Q241865,transverse cervical nerve,Q9620,nerve
Q430892,deep vein,Q9609,vein
Q441704,lesser occipital nerve,Q9620,nerve
Q478619,iliohypogastric nerve,Q9620,nerve
Q510755,lateral cutaneous nerve of thigh,Q9620,nerve
Q535352,pulmonary vein,Q9609,vein
Q749592,jugular vein,Q9609,vein
Q5372627,emissary veins,Q9609,vein
Q6545268,subcostal vein,Q9609,vein
Q66568781,set of thoraco-epigastric veins,Q9609,vein
Q123297534,perforating vein,Q9609,vein
Q123370377,intercapitular veins of foot,Q9609,vein
Q137710449,,Q10990,meat
Q45989,kale,Q11004,vegetable
Q12047207,okra,Q11004,vegetable
Q1949014,iRobot Create,Q11012,robot
Q104664711,brussels sprouts,Q11004,vegetable
Q211017,e-government,Q11016,technology
Q8041687,XBC,Q11012,robot
Q1460988,ilioinguinal nerve,Q9620,nerve
Q1758126,musculocutaneous nerve,Q9620,nerve
Q1978134,medial cutaneous nerve of arm,Q9620,nerve
Q2795262,splanchnic nerves,Q9620,nerve
Q4771357,anterior interosseous nerve,Q9620,nerve
Q5196689,cutaneous branch of the obturator nerve,Q9620,nerve
Q5250372,deep branch of radial nerve,Q9620,nerve
Q6031461,infrapatellar branch of saphenous nerve,Q9620,nerve
Q6806033,medial crural cutaneous branches of saphenous nerve,Q9620,nerve
Q7234190,posterior cutaneous nerve of forearm,Q9620,nerve
Q7234204,posterior interosseous nerve,Q9620,nerve
Q7502021,short ciliary nerves,Q9620,nerve
Q7643300,superficial branch of radial nerve,Q9620,nerve
Q7643637,superior lateral cutaneous nerve of arm,Q9620,nerve
Q16666327,,Q9620,nerve
Q109370466,spinal accessory nerve,Q9620,nerve
Q114857320,anterior branch of medial cutaneous nerve of forearm,Q9620,nerve
Q114857466,posterior branch of medial antebrachial cutaneous nerve,Q9620,nerve
Q115003399,accessory phrenic nerves,Q9620,nerve
Q115004495,ansa pectoralis,Q9620,nerve
Q12716,helicine branches of deep artery of penis,Q9655,artery
Q206280,pulmonary artery,Q9655,artery
Q384912,hepatopancreas,Q9647,gland
Q2154491,intercolic anastomotic artery,Q9655,artery
Q3328760,dorsal digital arteries,Q9655,artery
Q5298767,dorsal carpal arch,Q9655,artery
Q5298799,dorsal pancreatic artery,Q9655,artery
Q114698451,perforating branches of palmar metacarpal arteries,Q9655,artery
Q133926,Tafelmusik,Q9730,classical music
Q327988,occupational burnout,Q9690,fatigue
Q1337,leet,Q9779,alphabet
Q3115632,Lojban alphabet,Q9779,alphabet
Q116429659,Public Primary School,Q9842,primary school
Q29574466,,Q10210,white wine
Q42863907,,Q10210,white wine
Q42864089,,Q10210,white wine
Q42866391,,Q10210,white wine
Q473202,Majorero,Q10943,cheese
Q4337660,Ossetian cheese,Q10943,cheese
Q6094605,Tronchon,Q10943,cheese
Q1780765,companding,Q908691,reversible process
Q1780765,companding,Q11016,technology
Q68,computer,Q11019,machine
Q137189357,Safety screw,Q11022,screw
Q18654,dissociative amnesia,Q11072,amnesia
Q116733897,SrpC,Q11053,ribonucleic acid
Q1935225,military newspaper,Q11032,newspaper
Q131470475,,Q11030,journalism
Q5110339,Christian media,Q11033,mass media
Q60971731,global mass media,Q11033,mass media
Q1613929,emergency telephone,Q11035,telephone
Q2142976,Romano-British culture,Q11042,culture
Q7362718,Romano-Germanic culture,Q11042,culture
Q30593852,borderlands culture,Q11042,culture
Q96398903,pet culture,Q11042,culture
Q115220510,Mi'kmaw culture,Q11042,culture
Q7784684,thiomalic acid,Q11173,chemical compound
Q3617415,straight angle,Q11352,angle
Q422519,mineralocorticoid,Q11364,hormone
Q14116,macOS,Q11368,
Q14116,macOS,Q43627,Mac operating system
Q2666693,,Q11368,
Q38133997,N-acylsphingosine 1-phosphate,Q11367,lipid
Q105994387,AT&T UNIX,Q11368,
Q3644115,Breda A.14,Q11436,aircraft
Q3644129,Breda Ba.32,Q11436,aircraft
Q3657914,Caproni-AV.I.S. C.4,Q11436,aircraft
Q3657936,Caproni Ca.134,Q11436,aircraft
Q3657985,Caproni Ca.87,Q11436,aircraft
Q4038534,DINFIA IA 45,Q11436,aircraft
Q4133914,Bernard 70,Q11436,aircraft
Q5157707,Comte AC-11-V,Q11436,aircraft
Q5157708,Comte AC-12 Moskito,Q11436,aircraft
Q5157710,Comte AC-3,Q11436,aircraft
Q5157711,Comte AC-8,Q11436,aircraft
Q204037,natural logarithm,Q11197,logarithm
Q455752,town meeting,Q11204,legislature
Q581168,binary logarithm,Q11197,logarithm
Q16143182,Ario,Q11315,shopping center
Q2273509,transcendental equation,Q11345,equation
Q12989628,planetary mass,Q11423,mass
Q1256090,TWIP steel,Q11427,steel
Q7391292,air,Q11432,gas
Q7391292,air,Q169336,mixture
Q14404476,wort,Q11435,liquid
Q659934,Bartel BM-5,Q11436,aircraft
Q704025,Heinkel He 176,Q11436,aircraft
Q897846,PZL TS-8 Bies,Q11436,aircraft
Q1138037,Piaggio P.7,Q11436,aircraft
Q1349098,Yak-36,Q11436,aircraft
Q1645610,Mitsubishi Ki-1,Q11436,aircraft
Q2002067,ANBO IV,Q11436,aircraft
Q126327706,,Q11410,game
Q11298725,cooking toy,Q11422,toy
Q64765684,LWF model V,Q11436,aircraft
Q5458378,Fleet 50,Q11436,aircraft
Q5617624,Gulfstream American Hustler,Q11436,aircraft
Q6534943,Levasseur PL.8,Q11436,aircraft
Q7050533,Nord 2100 Norazur,Q11436,aircraft
Q7428391,Savoia-Marchetti SM.80,Q11436,aircraft
Q16532963,Blériot-SPAD S.42,Q11436,aircraft
Q16574690,Nieuport-Macchi Parasol,Q11436,aircraft
Q17029876,Hindustan Aircraft G-1,Q11436,aircraft
Q45108258,Progress,Q11442,bicycle
Q136257468,,Q11442,bicycle
Q1194826,urban agriculture,Q11451,agriculture
Q7202079,plastic clothing,Q11460,clothing
Q10344213,,Q11460,clothing
Q116110966,Wikimedia clothing,Q11460,clothing
Q2425645,reversible plough,Q11464,plough
Q104787116,knocking,Q11461,sound
Q7937238,structural glass,Q11469,glass
Q21098090,Fiolax,Q11469,glass
Q1515155,glassine,Q11472,paper
Q1773990,Paste paper,Q11472,paper
Q126157490,,Q11472,paper
Q114423415,,Q11538,mathematical proof
Q555868,olecranon bursitis,Q12136,disease
Q685200,superior canal dehiscence,Q12136,disease
Q748376,phakomatosis,Q12136,disease
Q838145,leukoplakia,Q12136,disease
Q917069,rhabdomyolysis,Q12136,disease
Q1269351,developmental coordination disorder,Q12136,disease
Q1365091,steatosis,Q12136,disease
Q2007184,telluric current,Q11651,electric current
Q134260478,infrastructure intelligence,Q134267724,computational framework
Q134260478,infrastructure intelligence,Q11660,artificial intelligence
Q134260478,infrastructure intelligence,Q134267630,optimization framework
Q134263749,AI-powered infrastructure,Q11660,artificial intelligence
Q11249728,Tokyo Stock Exchange-Tokyo Pro Market,Q11691,stock exchange
Q120401011,Type of climate in Nigeria,Q2249676,environment
Q120401011,Type of climate in Nigeria,Q11663,weather
Q131151465,Fukuoka Stock Exchange-Fukuoka Pro Market,Q11691,stock exchange
Q3541786,drug dependence,Q12029,addiction
Q226798,Zoroastrian calendar,Q12132,calendar system
Q6817241,menologium rusticum,Q12132,calendar system
Q12145457,mental disability,Q12131,disability
Q136439769,,Q12131,disability
Q2627467,dissociative disorder,Q12135,mental disorder
Q16642636,hyperreligiosity,Q12135,mental disorder
Q19000444,neurotic disorder,Q12135,mental disorder
Q12204,tuberculosis,Q12136,disease
Q81867,albinism,Q12136,disease
Q181923,attention deficit hyperactivity disorder,Q12136,disease
Q181923,attention deficit hyperactivity disorder,Q3450985,neurodevelopmental disorder
Q2096745,hereditary angioedema,Q12136,disease
Q2103081,polyposis,Q12136,disease
Q12187,antibiotic,Q12140,medication
Q95566669,hypertension,Q12136,disease
Q5208349,Daflon,Q12140,medication
Q7005626,elixir,Q12140,medication
Q21789862,sebelipase alfa,Q12140,medication
Q317309,mental health,Q12147,health
Q115792232,physical health,Q12147,health
Q130542372,Prince B O Akin (Baba Ota Herbal Home,Q12147,health
Q1223230,Roman bridge,Q12280,bridge
Q41898,Sator Square,Q12321,palindrome
Q12215584,,Q12323,dam
Q815602,belida,Q12791,sword
Q2948642,,Q12979,rosé
Q3442913,Rosé d'Anjou,Q12979,rosé
Q42869051,,Q12979,rosé
Q42869067,,Q12979,rosé
Q111570247,variant spellings of species-group names deemed to be identical (ICZN),Q13011,International Code of Zoological Nomenclature
Q111649390,proposal,Q13011,International Code of Zoological Nomenclature
Q111653838,variant spelling,Q13011,International Code of Zoological Nomenclature
Q116547060,accession date,Q13011,International Code of Zoological Nomenclature
Q116548205,the earliest day on which the work is demonstrated to be in existence(ICZN),Q13011,International Code of Zoological Nomenclature
Q116604938,date incompletely specified (ICZN),Q13011,International Code of Zoological Nomenclature
Q1338914,handbook,Q13136,reference work
Q99583922,architectural guide,Q13136,reference work
Q5457935,flatline,Q12453,measurement
Q16375698,Svanetian tower,Q12518,tower
Q127993,geothermal energy,Q12705,renewable energy
Q5436778,fashion in the United States,Q12684,fashion
Q87763890,fashion in Iran,Q12684,fashion
Q138721597,,Q12684,fashion
Q3882859,Opel OHC four-cylinder engine,Q12757,internal combustion engine
Q334415,security camera,Q110011956,surveillance device
Q334415,security camera,Q15328,camera
Q4425569,,Q13317,yogurt
Q11512298,Meiji Probio Yogurt R-1,Q13317,yogurt
Q131445533,,Q13276,cake
Q182803,Zimbabwean dollar,Q14083,dollar
Q182803,Zimbabwean dollar,Q28783456,obsolete currency
Q4839599,web shell,Q14001,malware
Q19795283,radio free,Q14350,radio station
Q48493,iOS,Q14656,Unix-like operating system
Q48493,iOS,Q920890,mobile operating system
Q269856,IBM AIX,Q14656,Unix-like operating system
Q18012472,watchOS,Q113953815,smartwatch operating system
Q18012472,watchOS,Q14656,Unix-like operating system
Q23665359,Redox,Q14656,Unix-like operating system
Q2505065,coat of arms of Chiapas,Q14659,coat of arms
Q4136285,"coat of arms of Grodno, Belarus",Q14659,coat of arms
Q4136725,coat of arms of the city of Rio de Janeiro,Q14659,coat of arms
Q4136746,Coats of arms of Samara,Q14659,coat of arms
Q5138241,,Q14659,coat of arms
Q5138429,coat of arms of Charlottetown,Q14659,coat of arms
Q7385493,Seal of Yerevan,Q14659,coat of arms
Q8778141,coat of arms of São Paulo,Q14659,coat of arms
Q9666066,coat of arms of Rio de Janeiro,Q14659,coat of arms
Q11854642,,Q14659,coat of arms
Q11940212,crest of Vysokaje,Q14659,coat of arms
Q12675843,,Q14659,coat of arms
Q14594667,coat of arms of Carcaixent,Q14659,coat of arms
Q15267104,,Q14659,coat of arms
Q25963337,arms of pretence,Q14659,coat of arms
Q48862415,coat of arms of Brazilian capitals,Q14659,coat of arms
Q60552403,Raison coat of arms,Q14659,coat of arms
Q130657440,"Coat of arms of Sault Ste. Marie, Ontario",Q14659,coat of arms
Q1987259,flag of Antarctica,Q14660,flag
Q2293672,flag of the Earth,Q14660,flag
Q14959225,pistachio nut,Q14712,drupe
Q1721552,cardboard furniture,Q14745,furniture
Q56271470,Ming-style furniture,Q14745,furniture
Q2100922,Poker table,Q14748,table
Q1579475,papakhi,Q14952,headgear
Q31193614,,Q14952,headgear
Q120645180,Canon camera,Q15328,camera
Q1785288,MGPjr,Q1955280,music competition
Q1785288,MGPjr,Q15416,television program
Q108938570,Designated National Security Law Judges (Hong Kong),Q16533,judge
Q59590524,Emperor's Rooms,Q16560,palace
Q58190533,,Q16917,hospital
Q135650592,city clinical hospital,Q16917,hospital
Q1623153,Hofkirche,Q16970,church building
Q328998,complex plane,Q17285,plane
Q1326434,electric flyswatter,Q17292,fly-killing device
Q138632606,,Q17517,mobile phone
Q3281081,Batang,Q17451,typeface
Q844718,theory of computation,Q17737,theory
Q1590997,nursing theory,Q17737,theory
Q2045366,axiom of empty set,Q17736,axiom
Q5195145,curriculum theory,Q17737,theory
Q25326668,unlabeled sexuality,Q17888,sexual orientation
Q509202,LGBT rights in Malawi,Q17898,LGBT rights by country or territory
Q1275939,LGBT rights in Iran,Q17898,LGBT rights by country or territory
Q1569096,LGBT rights in Pakistan,Q17898,LGBT rights by country or territory
Q4141189,LGBT rights in Myanmar,Q17898,LGBT rights by country or territory
Q1542343,independent record label,Q18127,record label
Q118720275,Soni Ram Music,Q18127,record label
Q134739860,Cornelis Music,Q18127,record label
Q105304,Academy Award for Best International Feature Film,Q19020,Academy Awards
Q2700544,Roman Theatre of Emerita Augusta,Q19757,Roman theatre
Q188504,alternative medicine,Q20532,healing knowledge
Q110852808,computational audiology,Q21198,computer science
Q120267332,Biogenic origin of oil,Q22656,petroleum
Q130707452,Wikipedia and antisemitism,Q22649,antisemitism
Q10605023,beaked shoe,Q22676,shoe
Q10605023,beaked shoe,Q190868,boot
Q319845,investment bank,Q22687,bank
Q110908974,Stanbic IBTC Bank Ltd.,Q22687,bank
Q1330941,Royal Parks of London,Q22698,park
Q6063204,regional park,Q22698,park
Q137830336,Internet shutdown in Burkina Faso in 2021,Q22696,Internet censorship
Q1508124,vehicle registration plates of Bosnia and Herzegovina,Q22706,vehicle registration plate
Q1323158,rock balancing,Q22731,stone
Q136681099,false cairn,Q22731,stone
Q24939861,City walls of Lecco,Q23413,castle
Q25410240,Torre Viscontea,Q23413,castle
Q117027695,entanglements: experiments in multimodal ethnography,Q5633421,scientific journal
Q117027695,entanglements: experiments in multimodal ethnography,Q23404,anthropology
Q29968027,lighthouse island,Q23442,island
Q136115469,robber baron castle,Q23413,castle
Q7502869,Shovel test pit,Q23498,archaeology
Q131573456,,Q22645,smartphone
Q21043347,Settings,Q23808,computer interface
Q15628696,mutu-venil,Q24384,season
Q68430666,Russian literary fairy tale,Q24723,literary fairy tale
Q68430666,Russian literary fairy tale,Q7534220,Russian fairy tales
Q2249787,Joiners' hammer,Q25294,hammer
Q898798,Dominican amber,Q25381,amber
Q4172090,Storm sails,Q25999,sail
Q45319979,,Q25999,sail
Q41264492,eyelash,Q28472,hair
Q838662,Hong Kong Public Libraries,Q28564,public library
Q1391596,Bachelor Professional,Q28640,profession
Q1428011,bail bondsman,Q28640,profession
Q1665688,company security officer,Q28640,profession
Q3506253,scrutineer,Q28640,profession
Q4201026,,Q28640,profession
Q4448548,marine surveyor,Q28640,profession
Q5183567,creative consultant,Q28640,profession
Q5589126,government agent,Q28640,profession
Q11479517,handicrafter,Q28640,profession
Q109037877,,Q28640,profession
Q109838620,,Q28640,profession
Q135492540,sales speaker,Q28640,profession
Q1408045,Gatsby,Q28803,sandwich
Q5613356,Guajolota,Q28803,sandwich
Q113455543,Xis,Q28803,sandwich
Q25477265,payment fraud,Q28813,fraud
Q589421,songket,Q28823,textile
Q3774554,,Q28823,textile
Q2826039,Jehovah's Witnesses' handling of child sex abuse,Q1800556,violence against women
Q2826039,Jehovah's Witnesses' handling of child sex abuse,Q26553,child sexual abuse
